screenName,followersCount,verified,friendsCount
MissPattz28,242,0,882
jhonper7,96,0,185
Marialuisaoaxac,242,0,882
marmenca,10,0,5
laredo89,66,0,511
Siempre889,114912,0,104
mer_rdz,37,0,36
patrickstar89,10,0,98
Carokotowy,149,0,1162
rorv89,272,0,386
janet_huerta,674,0,626
aldom93,114,0,715
pksschulz,1095,0,307
dbeto97,60,0,125
karcastle,148,0,266
PaulCheca,1516,0,177
titosalome,287,0,521
rafacordova,209,0,226
amliby,3,0,15
rengerdes,375,0,406
montseprdz,82,0,202
marilobogil,281,0,305
MacRodriguez80,30,0,94
genaro1752,18,0,195
Osiel0,98,0,273
angelmauricioj1,11,0,64
dolomoreira,200,0,505
SofiaEnTuRadio,53484,0,4769
Blankiux_11,218,0,826
claudia190686,31,0,97
PauGoPa,21,0,19
gabhchacon,44,0,186
ClaudiaLamagana,499,0,548
AngieRiveraMX,2785,0,283
patugos,13,0,46
erikaaponte,9063,0,2145
AjaCecy,14,0,25
Ana_Villalon,249,0,326
bella14aya,116,0,163
Adausto,790,0,1515
kristallnatch11,4,0,23
Sabsil,193,0,474
JL_PORTILLA,73,0,104
aritzelmtz,52,0,88
mariade7419,71,0,536
lcpcastellanos,461,0,461
Me_DM1,86,0,182
SELF_Mexico,650,0,1934
atar_ong,260,0,883
kuchiku86,80,0,144
Alan__Campos,254,0,686
maritzapala,1185,0,432
katcargza,95,0,270
Fundacion_MITA,293,0,525
FundacionAnig,846,0,79
Ale_Romej,6,0,40
unica_katy,427,0,1073
MOTHOV,423,0,298
SaraHerrera11,73,0,379
pacotapiamd,118,0,354
AMonsy,124,0,301
tetecarrillo,202,0,260
marcoteliz,258,0,531
Sancasvilatoba,52,0,342
mx_df,285217,0,34606
MarcelaSaebL,1423,0,1395
incmnszmx,28177,0,14255
Vasthyxica,789,0,1171
TlalpanTeam,3567,0,938
Racielita05,155,0,151
Isela_MP,73,0,172
miguemaza,185,0,312
Estudimagen,76424,0,9
AnaLaraPulido,73,0,359
heroeszacapoax,35,0,253
IsraHA,210,0,334
memoaellin,61,0,43
Gordianno,9,0,37
MikeSanchez198,34,0,55
donaenvida,109685,1,560
SLP_Estado,122289,0,121014
marydebeck,1317,0,1263
PerspSXXI,224,0,84
TammyPeralta,195,0,155
CardenasRouss,8,0,33
Margaritalcaraz,1001,0,626
sofiaagucor,507,0,812
JesusRfl,50,0,124
Avon94JB,1557,0,975
Onanito,750,0,1792
RiusIP,1132,0,361
Karelly_jd,207,0,478
RafaelR34993910,57,0,201
ingambientalver,66,0,453
veronicaganv,31,0,252
marge_v,117,0,264
krlitos691,336,0,1030
tonetat,302,0,404
urss_bntz,18,0,40
HijaDZeus,49,0,104
LauDurand,459,0,234
Marce398,672,0,1388
mclozzano,748,0,951
Kikep72,74,0,162
CapsNarrador,11885,0,348
pilykuera,3270,0,1750
RICHARD_A17,96,0,409
andreago9,269,0,164
anaserrano942,186,0,799
FarmaciaMIDerma,216,0,166
CarminaJure,14,0,42
3iick,80,0,105
LeViolettLapin,165,0,525
dany2018p,187,0,216
gabysvelas,170,0,247
sarapineda10,40,0,237
cas_delgadoL,45,0,51
lily9407,177,0,157
JimeMtz3,172,0,130
FundacionUAEMex,2324,0,1179
PonchoMunoz,43674,0,32199
alexshinojosa,213,0,212
sara_centeno95,267,0,357
analicarnalla,37,0,41
alejandro_lujam,7,0,3
CuteCakeHgo,4,0,61
miprincesa8026,675,0,353
nizasalas,441,0,244
Gerardo_Obregon,202,0,694
DeyaSN,655,0,610
Mariana97ct,684,0,662
Elhyzita,93,0,247
JosSotelo1,28,0,37
JhazidC,20,0,42
JaneJara,30,0,65
jcarloshuerta,27278,0,10729
NoMsAcoso,270,0,622
maria_gallas,133,0,383
Robertaavila30,175,0,193
gabyramirez1103,148,0,673
jcarloz66,152,0,332
FundacionClara,365,0,217
Diana_Lavrado,42,0,221
mama_moderna,27478,0,2891
vitelin,91,0,464
samuelgaoana,26,0,50
domicorazonn,319,0,405
lor_gm,523,0,348
r2d2Baudelaire,72,0,142
grupocanton,386,0,54
FanAnahiCol,902,0,380
JASZ77,114,0,355
yatzilt,21,0,33
bbmoxa76,31,0,152
MattMolins,1,0,4
alexismendezace,18,0,117
SeLeNYLoPeZ,281,0,829
AvilesCynthia,529,0,681
alezins,49,0,113
LoveAnnaxD,1196,0,2017
chela_low,1152,0,933
YaNoMasPrepo,135,0,266
stfaneb,169,0,178
Aanna_Bee,165,0,216
SinTrata,10166,0,2274
ollinorg,1830,0,781
LaFaunita,231,0,529
2d3ab274f908493,2,0,25
valelaleli,24,0,39
Brianda_jdr,88,0,116
ANTADMx,5050,0,767
KarenCalderon6,67,0,264
anabellarojasdc,118,0,166
ochalini,157,0,448
kamikamilas,127,0,24
alexibagnez,55,0,115
sritabonetta,542,0,1147
kevinvielman,120,0,199
juarez_val,159,0,247
osetimorbd,4261,0,729
VuelaFundacion,882,0,1876
LuisMD11,66,0,176
SilviaRdz,427,0,1135
JimeHerondale,162,0,255
themuseclem,74,0,148
maracontrerasc,321,0,381
RESOEX,71,0,136
lupezuniigo,100,0,130
Mariaghernand1,380,0,1993
Lilian_Vbernal,366,0,697
Tomas_ismael83,21,0,60
LUZ_E_P,18,0,103
CruzRojaXalapaV,46,0,45
coulibalyyous4,369,0,1437
clauguera,380,0,140
chivys3,71,0,170
BautisterCoder1,602,0,1066
J7302N,1734,0,1909
lsksksksksala,19,0,152
eloy3000,120,0,487
Andres_Montoya_,1204,0,678
HermesAmerica,288,0,526
pamelaku18,23,0,30
cynthiasalazare,510,0,507
karlita_cast,29,0,215
moranhv,238,0,453
Fuckowsky,512,0,509
Carmenmarilv,164,0,160
AmbarAgomez,3,0,29
MariaIsabelMi13,345,0,493
Mily_Contreras,656,0,644
JuanaJC,454,0,384
AlbertoMoolina,709,0,657
arlinmarquez,53,0,93
Viaducto_Piedad,1165,0,367
JenniMSHTP,53,0,171
mxcafependiente,6374,0,914
fab_campos,482,0,1081
AlexanderMatz,10540,0,11579
JUANACAURI,105,0,999
danifuentesr,407,0,697
JMaya1505,0,0,7
paolabergera,83,0,218
infanciacomun,827,0,1158
Luis10Paredes,677,0,250
erika_juve,347,0,769
Valeshine_,142,0,135
DvampirePosho,8,0,9
Maam7691,13,0,29
MiniAnymaniaca,627,0,356
Patyleal76,110,0,371
analu0216,150,0,399
ManuelRiquer,1119,0,808
GEMMA_YAD,527,0,398
SalayaSua,39,0,149
natylerose,125,0,183
amor953,44874,0,959
Rossinhol,654,0,405
PISCIS69,350,0,402
santosc31,136,0,146
morvel12,2,0,20
DianaKaren24,460,0,565
RenaOrea,179,0,286
tab_equidad,751,0,1677
Doriancordovac,575,0,456
MonseGutierrez_,85,0,153
tererdgz,2048,0,1329
JuventuxTGZ,5352,0,2850
natalialittrell,738,0,491
Alma_Feijoo,537,0,225
jurismo,472,0,528
DUma27,465,0,564
bellaortiz65,51,0,97
LariAglr,65,0,433
MaryPame070401,18,0,82
CECIGARMU,1594,0,1984
hipnotizanahi,894,0,359
meeliimontz,52,0,265
EdwardA96354177,9,0,37
RgRita7,261,0,447
Bress4,37,0,70
Happygirl945,929,0,1439
aztor79,28,0,95
fc_sojan,109,0,324
lidi_210_cofa,106,0,252
Logga_,203,0,594
rebeldiana,2976,0,2701
isa_oregon,157,0,210
arelygv,177,0,145
edgarmorenoes,184,0,496
LopezMaaite,1556,0,1385
pbenavidq,63,0,99
Inmobinauta,12175,0,12204
LauChable,183,0,181
karina_toralla,24,0,107
draidomenech11,138,0,628
lagueragargo,183,0,981
rugarzza10,79,0,107
moreno_edes,136,0,421
lilycbag,217,0,275
GMarodian,248,0,549
AbrazoAlCorazon,84,0,83
SupportForAH,2060,0,119
EdgarPuenteFan,510,0,1082
BgFrieda,16,0,48
EfrainBerry,6990,0,619
TamaraMena5,106,0,23
Documenta_AC,860,0,1979
IngOliveras,227,0,825
lepe_sara,127,0,323
karentransforma,1158,0,2000
1908Rafael,76,0,474
tierralibreeco,146,0,350
angymeza,1182,0,1080
adriana391,274,0,400
carminaferrari,6,0,41
tamaradealba,80,0,208
Paolafeliix,471,0,485
BeatrizNSH,70,0,835
transforma09,195,0,455
JohannaG4J,183,0,536
jesusstark72,62,0,49
LorenzaMusi,2,0,44
naye0492,46,0,151
roberto_coru,60,0,285
martona30,233,0,271
JessiZeferino,544,0,1624
dragonsblod77,15,0,120
astridmesan,405,0,173
Cinthy_Jacobo,378,0,371
mariterelg93,392,0,410
pKkgInNa,54,0,49
FansAngelicaMa,4906,0,1772
AMITI_Mex,5883,0,291
JessyMorenoo96,176,0,198
Y0rss,241,0,397
iValeriaOsorio,898,0,279
Omnest,199,0,445
_Lomeli_,147,0,116
gutyruiz2,170,0,205
juntosac,1923,0,1770
anguianomiguel,107,0,584
Nora06890728,47,0,30
imasemx,153,0,178
mague_saenz,103,0,181
RafaOrueta,917,0,688
normagarsol,40,0,59
voranges,669,0,139
ReikaImparable,1374,0,570
pinkytecto,21,0,125
rojalabe,208,0,139
aide_bones2704,44,0,285
TJMusicSchool,142,0,112
maru_guerrero77,28,0,47
OrquestaBC,393,0,44
DGradualDirecto,142,0,61
gabalbontin,21,0,39
RodrguezEn,40,0,46
_AnahiMty,25,0,11
BravoAguirr,16,0,94
RauRabAra,25,0,127
ReporteroUrban,411,0,396
Mix925MX,46,0,0
YESTJ,797,0,1386
ruloja81,249,0,397
mix1031fm,419,0,268
vicmdss,8,0,50
lilianwilliamsx,419,0,1029
Margarita_CT,38,0,40
paulina9416,146,0,247
wicca1394,0,0,44
Mix1017fm,253,0,19
mixfmcancun,2612,0,1523
GuerraTere,71,0,157
Amor957,54,0,13
amor997,157,0,84
ReikvolutionTab,479,0,247
amor953SanLuis,1047,0,24
fondoparalapaz,3318,0,373
mister80,226,0,553
Mazahui,27,0,44
pepegza1,402,0,766
GraciaTacubaya,267,0,273
Odettblemini,395,0,144
Mariana99524116,23,0,77
m_vela,94,0,100
Delmmy_F,185,0,487
eaburtolugo,21,0,43
KarlitaKoala,735,0,364
Lunita53161728,75,0,132
Andrecorreas18,489,0,301
msolbesg,97,0,358
anapauladeharo,456,0,376
jecobos45,42,0,122
Bc_Bernal,1373,0,1788
RaquelOrigel,1092,0,431
propomag,759,0,905
RuizAsociados,616,0,660
any_rgz,24,0,155
ChemaJuanay,260,0,689
ValeriaCarbajal,388,0,642
izbeth_rojas,13,0,61
jazminlibra011,1351,0,2001
alequita05,16,0,63
honguito_08,28,0,127
CAmartinez_96,252,0,398
DomingoMau,46,0,74
ErickEnsaldoM,893,0,1717
sariiela,249,0,144
JanQuiser,99,0,576
marisolrdc,1024,0,1064
lauracendejas1,11,0,64
fraymora,13,0,99
lorena68,1793,0,1939
DianaCa63588600,2,0,3
LaloEnAmor,1388,0,426
RAFACANTON_,233,0,191
kannon9602,8,0,43
iEvelynMorales,1467,0,944
monsaneli,35,0,244
KarenDiazLima,799,0,880
jorgeriopalma,87,0,127
GabyElizondoGzz,74,0,102
Xo7711,40,0,151
Amigos_larevist,3750,0,1141
LaloyYa,1160,0,379
Ingrid_rosas,3073,0,1744
PauLsoloPauL,108,0,114
LinOlveraV,61,0,202
Benitojose857J,78,0,128
robbvelazquez,304,0,643
MediCasos,61108,0,8909
galvaneguille,126,0,525
ViaICampeche,1393,0,1901
BrianMasso,70,0,158
sidneia_ap,396,0,360
FernandaVeraJmz,546,0,755
4Y4L4POSE,1070,0,1500
MartinRicardo99,326,0,207
michelifonseca1,2586,0,2665
GilaurenAmor,727,0,66
rodosalinas,82,0,29
YajairaaRo,661,0,515
eliana_marques2,2983,0,2624
licsandralozano,99,0,94
vanesadem,165,0,201
LorsRub19,71,0,191
delzilenejgui30,984,0,466
annydome14,29,0,163
letyruffo_2015,174,0,238
rebecalorena2,293,0,307
GoguisFrendas,324,0,10
shemilymichaele,29,0,185
AnaJordania31,288,0,299
CorreConeja,57,0,46
Loreley08,799,0,666
InterSoftware,1433,0,1535
CarolineSilvva,567,0,259
jeannesantos88,255,0,203
juanquinzanos,213,0,406
Claudiasuelysan,778,0,538
neelcy,1301,0,205
elsoldelomas,474,0,560
Elenni8,525,0,393
Aleex_Loredo,313,0,109
lizBelmonte,262,0,326
Lizbethgo26,0,0,21
CasadelaAmistad,7689,0,2088
fcomba,3216,0,3208
Nora_Linda,267,0,324
VRWebPortugues,1383,0,52
mariolis__,698,0,318
LuVargas06,209,0,235
Sulla232,877,0,871
AldoAlvarez,268,0,634
v_iv0nne,96,0,260
TaliaResende,1442,0,1981
lorena7557,7,0,20
Sangrelobo,133,0,449
gamoca,192,0,794
robertasena85,447,0,388
PalomaMPria,271,0,413
smith_adriana,1010,0,136
IsaCej,203,0,238
AlessiaBT,137,0,139
goku1518,8,0,20
solcosao,56,0,22
xdeacha,43,0,74
vishruffo,835,0,515
carla8510,250,0,276
traumadixAYA,2236,0,719
pablo_domz,1777,0,640
_15marco,162,0,248
rosa1653,490,0,88
HerikaBitch,1451,0,200
ErnestoLPV,4122,0,3489
betzysfer,611,0,1282
AlinaVargas16,9,0,65
verob_74,115,0,233
RRobertaSantos,2015,0,467
eriikareyes,584,0,145
andrezza20133,296,0,383
diegoanda,13341,0,14236
mariainacyo27,575,0,643
javiera014a,473,0,1107
tallirojas,578,0,1204
laramaiz,23,0,132
villasintwit,519,0,807
karelycc13,1100,0,977
dan_rc20,108,0,505
YoNoSoyThalia,154,0,144
machiko_ac,13,0,101
fabianalara4,407,0,624
andream84400334,606,0,1998
leaneeximendes,139,0,847
marianabeq,90,0,101
bertincruz82,16,0,113
mecheoa,110,0,77
llalo10,16,0,40
GenesisAllaica,421,0,504
Sara_Hdez,108,0,110
Oftalmosegura,132,0,148
Eddiemx2009,735,0,2003
MarthaPitis,29,0,101
erikamolinaok,236,0,200
TuneameLaCama,132,0,90
daylin_vera,48,0,288
silva_sulla,138,0,99
VikymartinezVic,37,0,208
RufflesTekilaZ,950,0,651
loydaacosta,555,0,1570
edmayii,195,0,162
ONMPRICDMX,1538,0,145
Deyanira259,184,0,312
Basuriita,144,0,115
bele_gallardo,254,0,331
FlavinhaVicky,181,0,464
